Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
spine,DC1-POD2-SPINE1,Ethernet1,super-spine,DC1-SUPER-SPINE1,Ethernet3
spine,DC1-POD2-SPINE1,Ethernet2,l3leaf,DC1-POD2-LEAF1A,Ethernet2
spine,DC1-POD2-SPINE1,Ethernet3,l3leaf,DC1-POD2-LEAF1B,Ethernet2
spine,DC1-POD2-SPINE1,Ethernet4,l3leaf,DC1-POD2-LEAF2A,Ethernet2
spine,DC1-POD2-SPINE1,Ethernet5,l3leaf,DC1-POD2-LEAF2B,Ethernet2
spine,DC1-POD2-SPINE1,Ethernet6,super-spine,DC1-SUPER-SPINE2,Ethernet3
spine,DC1-POD2-SPINE2,Ethernet1,super-spine,DC1-SUPER-SPINE1,Ethernet4
spine,DC1-POD2-SPINE2,Ethernet2,l3leaf,DC1-POD2-LEAF1A,Ethernet3
spine,DC1-POD2-SPINE2,Ethernet3,l3leaf,DC1-POD2-LEAF1B,Ethernet3
spine,DC1-POD2-SPINE2,Ethernet4,l3leaf,DC1-POD2-LEAF2A,Ethernet3
spine,DC1-POD2-SPINE2,Ethernet5,l3leaf,DC1-POD2-LEAF2B,Ethernet3
spine,DC1-POD2-SPINE2,Ethernet6,super-spine,DC1-SUPER-SPINE2,Ethernet4
l3leaf,DC1-POD2-LEAF1A,Ethernet1,mlag_peer,DC1-POD2-LEAF1B,Ethernet1
l3leaf,DC1-POD2-LEAF1A,Ethernet2,spine,DC1-POD2-SPINE1,Ethernet2
l3leaf,DC1-POD2-LEAF1A,Ethernet3,spine,DC1-POD2-SPINE2,Ethernet2
l3leaf,DC1-POD2-LEAF1A,Ethernet6,mlag_peer,DC1-POD2-LEAF1B,Ethernet6
l3leaf,DC1-POD2-LEAF1A,Ethernet7,l2leaf,DC1-POD2-L2LEAF1A,Ethernet1
l3leaf,DC1-POD2-LEAF1A,Ethernet20,overlay_controller,DC1-RS2,Ethernet1
l3leaf,DC1-POD2-LEAF1B,Ethernet1,mlag_peer,DC1-POD2-LEAF1A,Ethernet1
l3leaf,DC1-POD2-LEAF1B,Ethernet2,spine,DC1-POD2-SPINE1,Ethernet3
l3leaf,DC1-POD2-LEAF1B,Ethernet3,spine,DC1-POD2-SPINE2,Ethernet3
l3leaf,DC1-POD2-LEAF1B,Ethernet6,mlag_peer,DC1-POD2-LEAF1A,Ethernet6
l3leaf,DC1-POD2-LEAF1B,Ethernet7,l2leaf,DC1-POD2-L2LEAF1A,Ethernet2
l3leaf,DC1-POD2-LEAF1B,Ethernet20,overlay_controller,DC1-RS2,Ethernet2
l3leaf,DC1-POD2-LEAF2A,Ethernet1,mlag_peer,DC1-POD2-LEAF2B,Ethernet1
l3leaf,DC1-POD2-LEAF2A,Ethernet2,spine,DC1-POD2-SPINE1,Ethernet4
l3leaf,DC1-POD2-LEAF2A,Ethernet3,spine,DC1-POD2-SPINE2,Ethernet4
l3leaf,DC1-POD2-LEAF2A,Ethernet6,mlag_peer,DC1-POD2-LEAF2B,Ethernet6
l3leaf,DC1-POD2-LEAF2A,Ethernet8,l2leaf,DC1-L2LEAF2A,Ethernet1
l3leaf,DC1-POD2-LEAF2B,Ethernet1,mlag_peer,DC1-POD2-LEAF2A,Ethernet1
l3leaf,DC1-POD2-LEAF2B,Ethernet2,spine,DC1-POD2-SPINE1,Ethernet5
l3leaf,DC1-POD2-LEAF2B,Ethernet3,spine,DC1-POD2-SPINE2,Ethernet5
l3leaf,DC1-POD2-LEAF2B,Ethernet6,mlag_peer,DC1-POD2-LEAF2A,Ethernet6
l3leaf,DC1-POD2-LEAF2B,Ethernet8,l2leaf,DC1-L2LEAF2A,Ethernet2
